Nairobi Stock Exchange All Share Index | Price History                                          02-Jun-2023 20:00,,,,,,,
,,,,,,,
,,,,,,,
.NASI,,,,,,,
Interval: Daily,,,,,,,
History Period: 01-Apr-2011 - 31-Jul-2020,,,,,,,
,,,,,,,
,,,,,,,
.NASI Statistics     Daily     01-Apr-2011 - 29-Jul-2020,,,,,,,
Price,,,Up/Down,,Price Change (Close-Close),,
High,196.57,05-Apr-2018,Up,1184,Up,+4.11%,12-Oct-2016
Low,65.14,07-Dec-2011,Down,1099,Down,-5.51%,13-Mar-2020
Avg,135.82,,Unch,21,Period,+48.88%,01-Apr-2011 - 29-Jul-2020
,,,,,,,
,,,,,,,
.NASI History     Daily     01-Apr-2011 - 29-Jul-2020,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,
05-Jun-2020,139.18,-0.41,-0.29%,139.18,139.18,139.18,
04-Jun-2020,139.59,+1.33,+0.96%,139.59,139.59,139.59,
03-Jun-2020,138.26,+0.66,+0.48%,138.26,138.26,138.26,
02-Jun-2020,137.60,+0.47,+0.34%,137.60,137.60,137.60,
29-May-2020,137.13,+0.62,+0.45%,137.13,137.13,137.13,
28-May-2020,136.51,-1.30,-0.94%,136.51,136.51,136.51,
27-May-2020,137.81,-1.13,-0.81%,137.81,137.81,137.81,
26-May-2020,138.94,-1.45,-1.03%,138.94,138.94,138.94,
22-May-2020,140.39,+1.73,+1.25%,140.39,140.39,140.39,
21-May-2020,138.66,-1.28,-0.91%,138.66,138.66,138.66,
20-May-2020,139.94,-0.74,-0.53%,139.94,139.94,139.94,
19-May-2020,140.68,+1.40,+1.01%,140.68,140.68,140.68,
18-May-2020,139.28,+3.95,+2.92%,139.28,139.28,139.28,
15-May-2020,135.33,+1.14,+0.85%,135.33,135.33,135.33,
14-May-2020,134.19,-3.18,-2.31%,134.19,134.19,134.19,
13-May-2020,137.37,-2.05,-1.47%,137.37,137.37,137.37,
12-May-2020,139.42,-1.23,-0.87%,139.42,139.42,139.42,
11-May-2020,140.65,-0.22,-0.16%,140.65,140.65,140.65,
08-May-2020,140.87,-1.93,-1.35%,140.87,140.87,140.87,
07-May-2020,142.80,-5.42,-3.66%,142.80,142.80,142.80,
06-May-2020,148.22,+2.53,+1.74%,148.22,148.22,148.22,
05-May-2020,145.69,+2.27,+1.58%,145.69,145.69,145.69,
04-May-2020,143.42,+3.73,+2.67%,143.42,143.42,143.42,
30-Apr-2020,139.69,-0.52,-0.37%,139.69,139.69,139.69,
29-Apr-2020,140.21,+4.25,+3.13%,140.21,140.21,140.21,
28-Apr-2020,135.96,+0.14,+0.10%,135.96,135.96,135.96,
27-Apr-2020,135.82,+0.04,+0.03%,135.82,135.82,135.82,
24-Apr-2020,135.78,-1.78,-1.29%,135.78,135.78,135.78,
23-Apr-2020,137.56,+0.49,+0.36%,137.56,137.56,137.56,
22-Apr-2020,137.07,-1.18,-0.85%,137.07,137.07,137.07,
21-Apr-2020,138.25,+0.41,+0.30%,138.25,138.25,138.25,
20-Apr-2020,137.84,+1.91,+1.41%,137.84,137.84,137.84,
17-Apr-2020,135.93,+1.29,+0.96%,135.93,135.93,135.93,
16-Apr-2020,134.64,-0.60,-0.44%,134.64,134.64,134.64,
15-Apr-2020,135.24,+1.65,+1.24%,135.24,135.24,135.24,
14-Apr-2020,133.59,+2.52,+1.92%,133.59,133.59,133.59,
09-Apr-2020,131.07,+0.11,+0.08%,131.07,131.07,131.07,
08-Apr-2020,130.96,-1.76,-1.33%,130.96,130.96,130.96,
07-Apr-2020,132.72,-2.80,-2.07%,132.72,132.72,132.72,
06-Apr-2020,135.52,-3.16,-2.28%,135.52,135.52,135.52,
03-Apr-2020,138.68,+2.00,+1.46%,138.68,138.68,138.68,
02-Apr-2020,136.68,+3.43,+2.57%,136.68,136.68,136.68,
01-Apr-2020,133.25,+1.33,+1.01%,133.25,133.25,133.25,
31-Mar-2020,131.92,+2.20,+1.70%,131.92,131.92,131.92,
30-Mar-2020,129.72,+2.42,+1.90%,129.72,129.72,129.72,
27-Mar-2020,127.30,+2.21,+1.77%,127.30,127.30,127.30,
26-Mar-2020,125.09,+0.79,+0.64%,125.09,125.09,125.09,
25-Mar-2020,124.30,-0.24,-0.19%,124.30,124.30,124.30,
24-Mar-2020,124.54,-3.67,-2.86%,124.54,124.54,124.54,
23-Mar-2020,128.21,-4.72,-3.55%,128.21,128.21,128.21,
20-Mar-2020,132.93,+0.07,+0.05%,132.93,132.93,132.93,
19-Mar-2020,132.86,-0.93,-0.70%,132.86,132.86,132.86,
18-Mar-2020,133.79,+0.24,+0.18%,133.79,133.79,133.79,
17-Mar-2020,133.55,+1.71,+1.30%,133.55,133.55,133.55,
16-Mar-2020,131.84,-1.82,-1.36%,131.84,131.84,131.84,
13-Mar-2020,133.66,-7.80,-5.51%,133.66,133.66,133.66,
12-Mar-2020,141.46,-7.71,-5.17%,141.46,141.46,141.46,
11-Mar-2020,149.17,+0.50,+0.34%,149.17,149.17,149.17,
10-Mar-2020,148.67,+0.69,+0.47%,148.67,148.67,148.67,
09-Mar-2020,147.98,-8.19,-5.24%,147.98,147.98,147.98,
06-Mar-2020,156.17,-0.43,-0.27%,156.17,156.17,156.17,
05-Mar-2020,156.60,+1.94,+1.25%,156.60,156.60,156.60,
04-Mar-2020,154.66,+1.56,+1.02%,154.66,154.66,154.66,
03-Mar-2020,153.10,+2.91,+1.94%,153.10,153.10,153.10,
02-Mar-2020,150.19,+1.59,+1.07%,150.19,150.19,150.19,
28-Feb-2020,148.60,-2.89,-1.91%,148.60,148.60,148.60,
27-Feb-2020,151.49,-0.93,-0.61%,151.49,151.49,151.49,
26-Feb-2020,152.42,-4.59,-2.92%,152.42,152.42,152.42,
25-Feb-2020,157.01,-1.38,-0.87%,157.01,157.01,157.01,
