Days,Date,Close,Net,%Chg,Open,Low,High
305,6/22/2012,81.15,0.32,0.40%,81.15,81.15,81.15
306,6/25/2012,80.9,-0.25,-0.31%,80.9,80.9,80.9
307,6/26/2012,81.13,0.23,0.28%,81.13,81.13,81.13
308,6/27/2012,80.8,-0.33,-0.41%,80.8,80.8,80.8
309,6/28/2012,80.5,-0.3,-0.37%,80.5,80.5,80.5
310,6/29/2012,80.75,0.25,0.31%,80.75,80.75,80.75
311,7/2/2012,81.8,1.05,1.30%,81.8,81.8,81.8
312,7/3/2012,82.51,0.71,0.87%,82.51,82.51,82.51
313,7/4/2012,82.32,-0.19,-0.23%,82.32,82.32,82.32
314,7/5/2012,82.47,0.15,0.18%,82.47,82.47,82.47
315,7/6/2012,82.31,-0.16,-0.19%,82.31,82.31,82.31
316,7/9/2012,82.18,-0.13,-0.16%,82.18,82.18,82.18
317,7/10/2012,82.11,-0.07,-0.09%,82.11,82.11,82.11
318,7/11/2012,82.17,0.06,0.07%,82.17,82.17,82.17
319,7/12/2012,82.29,0.12,0.15%,82.29,82.29,82.29
320,7/13/2012,81.71,-0.58,-0.70%,81.71,81.71,81.71
321,7/16/2012,81.84,0.13,0.16%,81.84,81.84,81.84
322,7/17/2012,81.73,-0.11,-0.13%,81.73,81.73,81.73
323,7/18/2012,82.5,0.77,0.94%,82.5,82.5,82.5
324,7/19/2012,83.26,0.76,0.92%,83.26,83.26,83.26
325,7/23/2012,83.85,0.59,0.71%,83.85,83.85,83.85
326,7/24/2012,83.85,0,0.00%,83.85,83.85,83.85
327,7/25/2012,84.66,0.81,0.97%,84.66,84.66,84.66
328,7/26/2012,84.35,-0.31,-0.37%,84.35,84.35,84.35
329,7/27/2012,84.32,-0.03,-0.04%,84.32,84.32,84.32
330,7/30/2012,84.02,-0.3,-0.36%,84.02,84.02,84.02
331,7/31/2012,83.26,-0.76,-0.90%,83.26,83.26,83.26
332,8/1/2012,83.01,-0.25,-0.30%,83.01,83.01,83.01
333,8/2/2012,82.98,-0.03,-0.04%,82.98,82.98,82.98
334,8/3/2012,83.69,0.71,0.86%,83.69,83.69,83.69
335,8/7/2012,83.46,-0.23,-0.27%,83.46,83.46,83.46
336,8/8/2012,83.64,0.18,0.22%,83.64,83.64,83.64
337,8/9/2012,83.86,0.22,0.26%,83.86,83.86,83.86
338,8/10/2012,83.86,0,0.00%,83.86,83.86,83.86
339,8/13/2012,83.13,-0.73,-0.87%,83.13,83.13,83.13
340,8/14/2012,83.22,0.09,0.11%,83.22,83.22,83.22
341,8/15/2012,83.16,-0.06,-0.07%,83.16,83.16,83.16
342,8/16/2012,83.6,0.44,0.53%,83.6,83.6,83.6
343,8/17/2012,83.67,0.07,0.08%,83.67,83.67,83.67
344,8/21/2012,83.48,-0.19,-0.23%,83.48,83.48,83.48
345,8/22/2012,83.7,0.22,0.26%,83.7,83.7,83.7
346,8/23/2012,84.01,0.31,0.37%,84.01,84.01,84.01
347,8/24/2012,83.84,-0.17,-0.20%,83.84,83.84,83.84
348,8/27/2012,83.95,0.11,0.13%,83.95,83.95,83.95
349,8/28/2012,83.91,-0.04,-0.05%,83.91,83.91,83.91
350,8/29/2012,84.36,0.45,0.54%,84.36,84.36,84.36
351,8/30/2012,84.87,0.51,0.60%,84.87,84.87,84.87
352,8/31/2012,84.66,-0.21,-0.25%,84.66,84.66,84.66
353,9/3/2012,84.95,0.29,0.34%,84.95,84.95,84.95
354,9/4/2012,85.62,0.67,0.79%,85.62,85.62,85.62
355,9/5/2012,85.82,0.2,0.23%,85.82,85.82,85.82
356,9/6/2012,85.35,-0.47,-0.55%,85.35,85.35,85.35
357,9/7/2012,85.9,0.55,0.64%,85.9,85.9,85.9
358,9/10/2012,85.16,-0.74,-0.86%,85.16,85.16,85.16
359,9/11/2012,86.59,1.43,1.68%,86.59,86.59,86.59
360,9/12/2012,87.25,0.66,0.76%,87.25,87.25,87.25
361,9/13/2012,87.22,-0.03,-0.03%,87.22,87.22,87.22
362,9/14/2012,86.61,-0.61,-0.70%,86.61,86.61,86.61
363,9/17/2012,86.84,0.23,0.27%,86.84,86.84,86.84
364,9/18/2012,87.04,0.2,0.23%,87.04,87.04,87.04
365,9/19/2012,86.95,-0.09,-0.10%,86.95,86.95,86.95
366,9/20/2012,86.37,-0.58,-0.67%,86.37,86.37,86.37
367,9/21/2012,86.41,0.04,0.05%,86.41,86.41,86.41
368,9/24/2012,86.29,-0.12,-0.14%,86.29,86.29,86.29
369,9/25/2012,86.43,0.14,0.16%,86.43,86.43,86.43
370,9/26/2012,86.22,-0.21,-0.24%,86.22,86.22,86.22
371,9/27/2012,86.98,0.76,0.88%,86.98,86.98,86.98
372,9/28/2012,87.38,0.4,0.46%,87.38,87.38,87.38
373,10/1/2012,87.17,-0.21,-0.24%,87.17,87.17,87.17
374,10/2/2012,86.63,-0.54,-0.62%,86.63,86.63,86.63
375,10/3/2012,87.11,0.48,0.55%,87.11,87.11,87.11
376,10/4/2012,87.08,-0.03,-0.03%,87.08,87.08,87.08
377,10/5/2012,87.54,0.46,0.53%,87.54,87.54,87.54
378,10/8/2012,86.97,-0.57,-0.65%,86.97,86.97,86.97
379,10/9/2012,87.19,0.22,0.25%,87.19,87.19,87.19
380,10/10/2012,87.13,-0.06,-0.07%,87.13,87.13,87.13
381,10/11/2012,87.85,0.72,0.83%,87.85,87.85,87.85
382,10/12/2012,87.71,-0.14,-0.16%,87.71,87.71,87.71
383,10/15/2012,87.89,0.18,0.21%,87.89,87.89,87.89
384,10/16/2012,88.02,0.13,0.15%,88.02,88.02,88.02
385,10/17/2012,88.5,0.48,0.55%,88.5,88.5,88.5
386,10/18/2012,88.85,0.35,0.40%,88.85,88.85,88.85
387,10/19/2012,89.13,0.28,0.32%,89.13,89.13,89.13
388,10/22/2012,89.51,0.38,0.43%,89.51,89.51,89.51
389,10/23/2012,89.78,0.27,0.30%,89.78,89.78,89.78
390,10/24/2012,90.28,0.5,0.56%,90.28,90.28,90.28
391,10/25/2012,90.62,0.34,0.38%,90.62,90.62,90.62
392,10/26/2012,91.18,0.56,0.62%,91.18,91.18,91.18
393,10/29/2012,91.43,0.25,0.27%,91.43,91.43,91.43
394,10/30/2012,91.78,0.35,0.38%,91.78,91.78,91.78
395,11/1/2012,91.28,-0.5,-0.54%,91.28,91.28,91.28
396,11/5/2012,91.44,0.16,0.18%,91.44,91.44,91.44
397,11/6/2012,91.36,-0.08,-0.09%,91.36,91.36,91.36
398,11/7/2012,91.84,0.48,0.53%,91.84,91.84,91.84
399,11/8/2012,91.83,-0.01,-0.01%,91.83,91.83,91.83
400,11/9/2012,92.94,1.11,1.21%,92.94,92.94,92.94
401,11/12/2012,92.91,-0.03,-0.03%,92.91,92.91,92.91
402,11/13/2012,92.62,-0.29,-0.31%,92.62,92.62,92.62
403,11/14/2012,92.36,-0.26,-0.28%,92.36,92.36,92.36
404,11/15/2012,92.66,0.3,0.32%,92.66,92.66,92.66
405,11/16/2012,92.59,-0.07,-0.08%,92.59,92.59,92.59
406,11/19/2012,92.26,-0.33,-0.36%,92.26,92.26,92.26
407,11/20/2012,92.59,0.33,0.36%,92.59,92.59,92.59
408,11/21/2012,93.13,0.54,0.58%,93.13,93.13,93.13
409,11/22/2012,93.18,0.05,0.05%,93.18,93.18,93.18
410,11/23/2012,93.47,0.29,0.31%,93.47,93.47,93.47
411,11/26/2012,93.9,0.43,0.46%,93.9,93.9,93.9
412,11/27/2012,92.78,-1.12,-1.19%,92.78,92.78,92.78
413,11/28/2012,92.56,-0.22,-0.24%,92.56,92.56,92.56
414,11/29/2012,92.26,-0.3,-0.32%,92.26,92.26,92.26
415,11/30/2012,92.2,-0.06,-0.07%,92.2,92.2,92.2
416,12/3/2012,92.05,-0.15,-0.16%,92.05,92.05,92.05
417,12/4/2012,91.98,-0.07,-0.08%,91.98,91.98,91.98
418,12/5/2012,91.86,-0.12,-0.13%,91.86,91.86,91.86
419,12/6/2012,91.52,-0.34,-0.37%,91.52,91.52,91.52
420,12/7/2012,91.95,0.43,0.47%,91.95,91.95,91.95
421,12/10/2012,91.87,-0.08,-0.09%,91.87,91.87,91.87
422,12/11/2012,92.2,0.33,0.36%,92.2,92.2,92.2
423,12/13/2012,92.8,0.6,0.65%,92.8,92.8,92.8
424,12/14/2012,93.03,0.23,0.25%,93.03,93.03,93.03
425,12/17/2012,93.19,0.16,0.17%,93.19,93.19,93.19
426,12/18/2012,93.38,0.19,0.20%,93.38,93.38,93.38
427,12/19/2012,93.8,0.42,0.45%,93.8,93.8,93.8
428,12/20/2012,94,0.2,0.21%,94,94,94
429,12/21/2012,94.13,0.13,0.14%,94.13,94.13,94.13
430,12/24/2012,94.24,0.11,0.12%,94.24,94.24,94.24
431,12/27/2012,94.74,0.5,0.53%,94.74,94.74,94.74
432,12/28/2012,94.78,0.04,0.04%,94.78,94.78,94.78
433,12/31/2012,94.86,0.08,0.08%,94.86,94.86,94.86
434,1/2/2013,95.55,0.69,0.73%,95.55,95.55,95.55
435,1/3/2013,96.07,0.52,0.54%,96.07,96.07,96.07
436,1/4/2013,97.3,1.23,1.28%,97.3,97.3,97.3
437,1/7/2013,97.55,0.25,0.26%,97.55,97.55,97.55
438,1/8/2013,98.91,1.36,1.39%,98.91,98.91,98.91
439,1/9/2013,101.03,2.12,2.14%,101.03,101.03,101.03
440,1/10/2013,101.02,-0.01,-0.01%,101.02,101.02,101.02
441,1/11/2013,101.63,0.61,0.60%,101.63,101.63,101.63
442,1/14/2013,102.76,1.13,1.11%,102.76,102.76,102.76
443,1/15/2013,104.28,1.52,1.48%,104.28,104.28,104.28
444,1/16/2013,106.1,1.82,1.75%,106.1,106.1,106.1
445,1/17/2013,105.82,-0.28,-0.26%,105.82,105.82,105.82
446,1/18/2013,104.78,-1.04,-0.98%,104.78,104.78,104.78
447,1/21/2013,104.31,-0.47,-0.45%,104.31,104.31,104.31
448,1/22/2013,104.1,-0.21,-0.20%,104.1,104.1,104.1
449,1/23/2013,103.39,-0.71,-0.68%,103.39,103.39,103.39
450,1/24/2013,102.45,-0.94,-0.91%,102.45,102.45,102.45
451,1/25/2013,103.03,0.58,0.57%,103.03,103.03,103.03
452,1/28/2013,102.95,-0.08,-0.08%,102.95,102.95,102.95
453,1/29/2013,102.64,-0.31,-0.30%,102.64,102.64,102.64
454,1/30/2013,102.79,0.15,0.15%,102.79,102.79,102.79
455,1/31/2013,103.5,0.71,0.69%,103.5,103.5,103.5
456,2/1/2013,104.09,0.59,0.57%,104.09,104.09,104.09
457,2/4/2013,104.3,0.21,0.20%,104.3,104.3,104.3
458,2/5/2013,104.58,0.28,0.27%,104.58,104.58,104.58
459,2/6/2013,105.39,0.81,0.77%,105.39,105.39,105.39
460,2/7/2013,106.23,0.84,0.80%,106.23,106.23,106.23
461,2/8/2013,107.42,1.19,1.12%,107.42,107.42,107.42
462,2/11/2013,108.36,0.94,0.88%,108.36,108.36,108.36
463,2/12/2013,109.23,0.87,0.80%,109.23,109.23,109.23
464,2/13/2013,109.5,0.27,0.25%,109.5,109.5,109.5
465,2/14/2013,108.5,-1,-0.91%,108.5,108.5,108.5
466,2/15/2013,107.58,-0.92,-0.85%,107.58,107.58,107.58
467,2/18/2013,106.72,-0.86,-0.80%,106.72,106.72,106.72
468,2/19/2013,106.06,-0.66,-0.62%,106.06,106.06,106.06
469,2/20/2013,105.13,-0.93,-0.88%,105.13,105.13,105.13
470,2/22/2013,105.27,0.14,0.13%,105.27,105.27,105.27
471,2/25/2013,104.92,-0.35,-0.33%,104.92,104.92,104.92
472,2/27/2013,106.55,1.63,1.55%,106.55,106.55,106.55
473,2/28/2013,106.91,0.36,0.34%,106.91,106.91,106.91
474,3/1/2013,107.18,0.27,0.25%,107.18,107.18,107.18
475,3/5/2013,108.09,0.91,0.85%,108.09,108.09,108.09
476,3/6/2013,109.28,1.19,1.10%,109.28,109.28,109.28
477,3/7/2013,110.3,1.02,0.93%,110.3,110.3,110.3
478,3/8/2013,111.79,1.49,1.35%,111.79,111.79,111.79
479,3/11/2013,115.37,3.58,3.20%,115.37,115.37,115.37
480,3/12/2013,119.37,4,3.47%,119.37,119.37,119.37
481,3/13/2013,118.02,-1.35,-1.13%,118.02,118.02,118.02
482,3/14/2013,115.93,-2.09,-1.77%,115.93,115.93,115.93
483,3/15/2013,113.23,-2.7,-2.33%,113.23,113.23,113.23
484,3/18/2013,112.56,-0.67,-0.59%,112.56,112.56,112.56
485,3/19/2013,113.2,0.64,0.57%,113.2,113.2,113.2
486,3/20/2013,113.52,0.32,0.28%,113.52,113.52,113.52
487,3/21/2013,113.21,-0.31,-0.27%,113.21,113.21,113.21
488,3/25/2013,114.09,0.88,0.78%,114.09,114.09,114.09
489,3/26/2013,114.78,0.69,0.60%,114.78,114.78,114.78
490,3/27/2013,117.23,2.45,2.13%,117.23,117.23,117.23
491,3/28/2013,117.91,0.68,0.58%,117.91,117.91,117.91
492,4/2/2013,121.58,3.67,3.11%,121.58,121.58,121.58
493,4/3/2013,121.58,0,0.00%,121.58,121.58,121.58
494,4/4/2013,120.45,-1.13,-0.93%,120.45,120.45,120.45
495,4/5/2013,120.65,0.2,0.17%,120.65,120.65,120.65
496,4/8/2013,120.41,-0.24,-0.20%,120.41,120.41,120.41
497,4/10/2013,121.53,1.12,0.93%,121.53,121.53,121.53
498,4/11/2013,122.14,0.61,0.50%,122.14,122.14,122.14
499,4/12/2013,121.71,-0.43,-0.35%,121.71,121.71,121.71
500,4/15/2013,120.94,-0.77,-0.63%,120.94,120.94,120.94
501,4/16/2013,120.15,-0.79,-0.65%,120.15,120.15,120.15
502,4/17/2013,119.73,-0.42,-0.35%,119.73,119.73,119.73
503,4/18/2013,119.46,-0.27,-0.23%,119.46,119.46,119.46
504,4/19/2013,118.99,-0.47,-0.39%,118.99,118.99,118.99
505,4/22/2013,118.26,-0.73,-0.61%,118.26,118.26,118.26
506,4/23/2013,117.98,-0.28,-0.24%,117.98,117.98,117.98
507,4/24/2013,118.38,0.4,0.34%,118.38,118.38,118.38
508,4/25/2013,117.47,-0.91,-0.77%,117.47,117.47,117.47
509,4/26/2013,117.41,-0.06,-0.05%,117.41,117.41,117.41
510,4/29/2013,117.36,-0.05,-0.04%,117.36,117.36,117.36
511,4/30/2013,118.07,0.71,0.60%,118.07,118.07,118.07
512,5/2/2013,119.49,1.42,1.20%,119.49,119.49,119.49
513,5/3/2013,120.06,0.57,0.48%,120.06,120.06,120.06
514,5/6/2013,120.99,0.93,0.77%,120.99,120.99,120.99
515,5/7/2013,121.95,0.96,0.79%,121.95,121.95,121.95
516,5/8/2013,122.9,0.95,0.78%,122.9,122.9,122.9
517,5/9/2013,123.35,0.45,0.37%,123.35,123.35,123.35
518,5/10/2013,122.52,-0.83,-0.67%,122.52,122.52,122.52
519,5/13/2013,122.57,0.05,0.04%,122.57,122.57,122.57
520,5/14/2013,122.86,0.29,0.24%,122.86,122.86,122.86
521,5/15/2013,125.16,2.3,1.87%,125.16,125.16,125.16
522,5/16/2013,126.52,1.36,1.09%,126.52,126.52,126.52
523,5/17/2013,126.75,0.23,0.18%,126.75,126.75,126.75
524,5/20/2013,126.72,-0.03,-0.02%,126.72,126.72,126.72
525,5/21/2013,127.81,1.09,0.86%,127.81,127.81,127.81
526,5/22/2013,128.93,1.12,0.88%,128.93,128.93,128.93
527,5/23/2013,127.77,-1.16,-0.90%,127.77,127.77,127.77
528,5/24/2013,126.89,-0.88,-0.69%,126.89,126.89,126.89
529,5/27/2013,126.25,-0.64,-0.50%,126.25,126.25,126.25
530,5/28/2013,126.76,0.51,0.40%,126.76,126.76,126.76
531,5/29/2013,126.47,-0.29,-0.23%,126.47,126.47,126.47
532,5/30/2013,126.72,0.25,0.20%,126.72,126.72,126.72
533,5/31/2013,126.8,0.08,0.06%,126.8,126.8,126.8
534,6/3/2013,126.81,0.01,0.01%,126.81,126.81,126.81
535,6/4/2013,126.68,-0.13,-0.10%,126.68,126.68,126.68
536,6/5/2013,126.68,0,0.00%,126.68,126.68,126.68
537,6/6/2013,126.58,-0.1,-0.08%,126.58,126.58,126.58
538,6/7/2013,126.19,-0.39,-0.31%,126.19,126.19,126.19
539,6/10/2013,126.07,-0.12,-0.10%,126.07,126.07,126.07
540,6/11/2013,125.24,-0.83,-0.66%,125.24,125.24,125.24
541,6/12/2013,124.23,-1.01,-0.81%,124.23,124.23,124.23
542,6/13/2013,122.97,-1.26,-1.01%,122.97,122.97,122.97
543,6/14/2013,121.27,-1.7,-1.38%,121.27,121.27,121.27
544,6/17/2013,119.63,-1.64,-1.35%,119.63,119.63,119.63
545,6/18/2013,118.78,-0.85,-0.71%,118.78,118.78,118.78
546,6/19/2013,119.62,0.84,0.71%,119.62,119.62,119.62
547,6/20/2013,120.33,0.71,0.59%,120.33,120.33,120.33
548,6/21/2013,119.64,-0.69,-0.57%,119.64,119.64,119.64
549,6/24/2013,118.38,-1.26,-1.05%,118.38,118.38,118.38
550,6/25/2013,117.29,-1.09,-0.92%,117.29,117.29,117.29
551,6/26/2013,116.24,-1.05,-0.90%,116.24,116.24,116.24
552,6/28/2013,116.31,0.07,0.06%,116.31,116.31,116.31
553,7/1/2013,115.64,-0.67,-0.58%,115.64,115.64,115.64
554,7/2/2013,115.44,-0.2,-0.17%,115.44,115.44,115.44
555,7/3/2013,115.48,0.04,0.03%,115.48,115.48,115.48
556,7/4/2013,116.23,0.75,0.65%,116.23,116.23,116.23
557,7/5/2013,117.34,1.11,0.96%,117.34,117.34,117.34
558,7/8/2013,118.03,0.69,0.59%,118.03,118.03,118.03
559,7/9/2013,118.18,0.15,0.13%,118.18,118.18,118.18
560,7/10/2013,118.85,0.67,0.57%,118.85,118.85,118.85
561,7/11/2013,119.87,1.02,0.86%,119.87,119.87,119.87
562,7/12/2013,121.39,1.52,1.27%,121.39,121.39,121.39
563,7/15/2013,122.51,1.12,0.92%,122.51,122.51,122.51
564,7/16/2013,123.21,0.7,0.57%,123.21,123.21,123.21
565,7/17/2013,124.4,1.19,0.97%,124.4,124.4,124.4
566,7/18/2013,123.42,-0.98,-0.79%,123.42,123.42,123.42
567,7/19/2013,123.7,0.28,0.23%,123.7,123.7,123.7
568,7/22/2013,123.48,-0.22,-0.18%,123.48,123.48,123.48
569,7/23/2013,122.92,-0.56,-0.45%,122.92,122.92,122.92
570,7/24/2013,123.21,0.29,0.24%,123.21,123.21,123.21
571,7/25/2013,123.22,0.01,0.01%,123.22,123.22,123.22
572,7/26/2013,123.71,0.49,0.40%,123.71,123.71,123.71
573,7/29/2013,123.23,-0.48,-0.39%,123.23,123.23,123.23
574,7/30/2013,123.63,0.4,0.32%,123.63,123.63,123.63
575,7/31/2013,122.86,-0.77,-0.62%,122.86,122.86,122.86
576,8/1/2013,123.03,0.17,0.14%,123.03,123.03,123.03
577,8/2/2013,123.3,0.27,0.22%,123.3,123.3,123.3
