Days,Date,Close,Net,%Chg,Open,Low,High
625,10/15/2013,130.9,-0.41,-0.31%,130.9,130.9,130.9
626,10/16/2013,130.87,-0.03,-0.02%,130.87,130.87,130.87
627,10/17/2013,130.67,-0.2,-0.15%,130.67,130.67,130.67
628,10/18/2013,131.32,0.65,0.50%,131.32,131.32,131.32
629,10/23/2013,131.56,0.24,0.18%,131.56,131.56,131.56
630,10/24/2013,131.56,0,0.00%,131.56,131.56,131.56
631,10/25/2013,131.06,-0.5,-0.38%,131.06,131.06,131.06
632,10/28/2013,130.73,-0.33,-0.25%,130.73,130.73,130.73
633,10/30/2013,132.03,1.3,0.99%,132.03,132.03,132.03
634,10/31/2013,133.24,1.21,0.92%,133.24,133.24,133.24
635,11/1/2013,133.87,0.63,0.47%,133.87,133.87,133.87
636,11/4/2013,134.27,0.4,0.30%,134.27,134.27,134.27
637,11/6/2013,134.7,0.43,0.32%,134.7,134.7,134.7
638,11/7/2013,135.29,0.59,0.44%,135.29,135.29,135.29
639,11/8/2013,134.71,-0.58,-0.43%,134.71,134.71,134.71
640,11/11/2013,134.52,-0.19,-0.14%,134.52,134.52,134.52
641,11/12/2013,134.64,0.12,0.09%,134.64,134.64,134.64
642,11/13/2013,134.69,0.05,0.04%,134.69,134.69,134.69
643,11/14/2013,135.11,0.42,0.31%,135.11,135.11,135.11
644,11/15/2013,135.13,0.02,0.01%,135.13,135.13,135.13
645,11/18/2013,135.57,0.44,0.33%,135.57,135.57,135.57
646,11/19/2013,135.67,0.1,0.07%,135.67,135.67,135.67
647,11/20/2013,136.26,0.59,0.43%,136.26,136.26,136.26
648,11/21/2013,138.14,1.88,1.38%,138.14,138.14,138.14
649,11/22/2013,138.83,0.69,0.50%,138.83,138.83,138.83
650,11/25/2013,140.08,1.25,0.90%,140.08,140.08,140.08
651,11/26/2013,141.08,1,0.71%,141.08,141.08,141.08
652,11/27/2013,141.86,0.78,0.55%,141.86,141.86,141.86
653,11/28/2013,142.58,0.72,0.51%,142.58,142.58,142.58
654,11/29/2013,141.17,-1.41,-0.99%,141.17,141.17,141.17
655,12/2/2013,140.84,-0.33,-0.23%,140.84,140.84,140.84
656,12/3/2013,140.66,-0.18,-0.13%,140.66,140.66,140.66
657,12/4/2013,139.86,-0.8,-0.57%,139.86,139.86,139.86
658,12/5/2013,137.91,-1.95,-1.39%,137.91,137.91,137.91
659,12/6/2013,136.7,-1.21,-0.88%,136.7,136.7,136.7
660,12/9/2013,136.22,-0.48,-0.35%,136.22,136.22,136.22
661,12/10/2013,134.62,-1.6,-1.17%,134.62,134.62,134.62
662,12/11/2013,133.92,-0.7,-0.52%,133.92,133.92,133.92
663,12/16/2013,133.53,-0.39,-0.29%,133.53,133.53,133.53
664,12/17/2013,132.14,-1.39,-1.04%,132.14,132.14,132.14
665,12/18/2013,132.23,0.09,0.07%,132.23,132.23,132.23
666,12/19/2013,132.06,-0.17,-0.13%,132.06,132.06,132.06
667,12/20/2013,132.17,0.11,0.08%,132.17,132.17,132.17
668,12/23/2013,132.73,0.56,0.42%,132.73,132.73,132.73
669,12/24/2013,135.22,2.49,1.88%,135.22,135.22,135.22
670,12/27/2013,135.12,-0.1,-0.07%,135.12,135.12,135.12
671,12/30/2013,135.83,0.71,0.53%,135.83,135.83,135.83
672,12/31/2013,136.65,0.82,0.60%,136.65,136.65,136.65
673,1/2/2014,136.56,-0.09,-0.07%,136.56,136.56,136.56
674,1/3/2014,136.74,0.18,0.13%,136.74,136.74,136.74
675,1/6/2014,138.5,1.76,1.29%,138.5,138.5,138.5
676,1/7/2014,139.63,1.13,0.82%,139.63,139.63,139.63
677,1/8/2014,140.35,0.72,0.52%,140.35,140.35,140.35
678,1/9/2014,141.59,1.24,0.88%,141.59,141.59,141.59
679,1/10/2014,141.5,-0.09,-0.06%,141.5,141.5,141.5
680,1/13/2014,140.69,-0.81,-0.57%,140.69,140.69,140.69
681,1/14/2014,140.79,0.1,0.07%,140.79,140.79,140.79
682,1/15/2014,141.01,0.22,0.16%,141.01,141.01,141.01
683,1/16/2014,140.35,-0.66,-0.47%,140.35,140.35,140.35
684,1/17/2014,140.28,-0.07,-0.05%,140.28,140.28,140.28
685,1/20/2014,141.11,0.83,0.59%,141.11,141.11,141.11
686,1/21/2014,141.85,0.74,0.52%,141.85,141.85,141.85
687,1/22/2014,142.73,0.88,0.62%,142.73,142.73,142.73
688,1/27/2014,144.4,1.67,1.17%,144.4,144.4,144.4
689,1/28/2014,143.36,-1.04,-0.72%,143.36,143.36,143.36
690,1/29/2014,141.27,-2.09,-1.46%,141.27,141.27,141.27
691,1/30/2014,139.06,-2.21,-1.56%,139.06,139.06,139.06
692,1/31/2014,134.66,-4.4,-3.16%,134.66,134.66,134.66
693,2/3/2014,134.58,-0.08,-0.06%,134.58,134.58,134.58
694,2/4/2014,136.51,1.93,1.43%,136.51,136.51,136.51
695,2/5/2014,136.72,0.21,0.15%,136.72,136.72,136.72
696,2/6/2014,137.72,1,0.73%,137.72,137.72,137.72
697,2/7/2014,137.35,-0.37,-0.27%,137.35,137.35,137.35
698,2/10/2014,137.26,-0.09,-0.07%,137.26,137.26,137.26
699,2/11/2014,138.08,0.82,0.60%,138.08,138.08,138.08
700,2/12/2014,138.17,0.09,0.07%,138.17,138.17,138.17
701,2/13/2014,137.71,-0.46,-0.33%,137.71,137.71,137.71
702,2/14/2014,137.7,-0.01,-0.01%,137.7,137.7,137.7
703,2/17/2014,136.51,-1.19,-0.86%,136.51,136.51,136.51
704,2/18/2014,135.67,-0.84,-0.62%,135.67,135.67,135.67
705,2/19/2014,136.37,0.7,0.52%,136.37,136.37,136.37
706,2/20/2014,137,0.63,0.46%,137,137,137
707,2/21/2014,138.44,1.44,1.05%,138.44,138.44,138.44
708,2/24/2014,139.57,1.13,0.82%,139.57,139.57,139.57
709,2/25/2014,140.65,1.08,0.77%,140.65,140.65,140.65
710,2/26/2014,141.04,0.39,0.28%,141.04,141.04,141.04
711,2/27/2014,141.11,0.07,0.05%,141.11,141.11,141.11
712,2/28/2014,141.05,-0.06,-0.04%,141.05,141.05,141.05
713,3/3/2014,140.85,-0.2,-0.14%,140.85,140.85,140.85
714,3/4/2014,140.36,-0.49,-0.35%,140.36,140.36,140.36
715,3/5/2014,140.12,-0.24,-0.17%,140.12,140.12,140.12
716,3/6/2014,140.94,0.82,0.59%,140.94,140.94,140.94
717,3/7/2014,140.87,-0.07,-0.05%,140.87,140.87,140.87
718,3/10/2014,141.85,0.98,0.70%,141.85,141.85,141.85
719,3/11/2014,141.88,0.03,0.02%,141.88,141.88,141.88
720,3/12/2014,142.31,0.43,0.30%,142.31,142.31,142.31
721,3/13/2014,144.29,1.98,1.39%,144.29,144.29,144.29
722,3/14/2014,143.57,-0.72,-0.50%,143.57,143.57,143.57
723,3/17/2014,142.94,-0.63,-0.44%,142.94,142.94,142.94
724,3/18/2014,142.98,0.04,0.03%,142.98,142.98,142.98
725,3/19/2014,143.72,0.74,0.52%,143.72,143.72,143.72
726,3/20/2014,144.5,0.78,0.54%,144.5,144.5,144.5
727,3/21/2014,144.5,0,0.00%,144.5,144.5,144.5
728,3/24/2014,149.63,5.13,3.55%,149.63,149.63,149.63
729,3/25/2014,144.73,-4.9,-3.27%,144.73,144.73,144.73
730,3/26/2014,144.99,0.26,0.18%,144.99,144.99,144.99
731,3/27/2014,144.55,-0.44,-0.30%,144.55,144.55,144.55
732,3/28/2014,144.38,-0.17,-0.12%,144.38,144.38,144.38
733,3/31/2014,143.89,-0.49,-0.34%,143.89,143.89,143.89
734,4/1/2014,143.76,-0.13,-0.09%,143.76,143.76,143.76
735,4/2/2014,143.77,0.01,0.01%,143.77,143.77,143.77
736,4/3/2014,143.91,0.14,0.10%,143.91,143.91,143.91
737,4/4/2014,143.4,-0.51,-0.35%,143.4,143.4,143.4
738,4/7/2014,142.79,-0.61,-0.43%,142.79,142.79,142.79
739,4/8/2014,142.87,0.08,0.06%,142.87,142.87,142.87
740,4/9/2014,143.68,0.81,0.57%,143.68,143.68,143.68
741,4/10/2014,144.36,0.68,0.47%,144.36,144.36,144.36
742,4/11/2014,145.14,0.78,0.54%,145.14,145.14,145.14
743,4/14/2014,145.41,0.27,0.19%,145.41,145.41,145.41
744,4/15/2014,146.42,1.01,0.69%,146.42,146.42,146.42
745,4/16/2014,147.37,0.95,0.65%,147.37,147.37,147.37
746,4/17/2014,148.11,0.74,0.50%,148.11,148.11,148.11
747,4/22/2014,148.22,0.11,0.07%,148.22,148.22,148.22
748,4/23/2014,148.46,0.24,0.16%,148.46,148.46,148.46
749,4/24/2014,149.95,1.49,1.00%,149.95,149.95,149.95
750,4/25/2014,150.46,0.51,0.34%,150.46,150.46,150.46
751,4/28/2014,150.45,-0.01,-0.01%,150.45,150.45,150.45
752,4/29/2014,151.18,0.73,0.49%,151.18,151.18,151.18
753,4/30/2014,151.13,-0.05,-0.03%,151.13,151.13,151.13
754,5/2/2014,151.85,0.72,0.48%,151.85,151.85,151.85
755,5/5/2014,151.6,-0.25,-0.16%,151.6,151.6,151.6
756,5/6/2014,151.43,-0.17,-0.11%,151.43,151.43,151.43
757,5/7/2014,151.77,0.34,0.22%,151.77,151.77,151.77
758,5/8/2014,151.78,0.01,0.01%,151.78,151.78,151.78
759,5/9/2014,151.95,0.17,0.11%,151.95,151.95,151.95
760,5/12/2014,152.67,0.72,0.47%,152.67,152.67,152.67
761,5/13/2014,152.27,-0.4,-0.26%,152.27,152.27,152.27
762,5/14/2014,151.28,-0.99,-0.65%,151.28,151.28,151.28
763,5/15/2014,150.73,-0.55,-0.36%,150.73,150.73,150.73
764,5/16/2014,151.15,0.42,0.28%,151.15,151.15,151.15
765,5/19/2014,150.58,-0.57,-0.38%,150.58,150.58,150.58
766,5/20/2014,150.51,-0.07,-0.05%,150.51,150.51,150.51
767,5/21/2014,150.31,-0.2,-0.13%,150.31,150.31,150.31
768,5/22/2014,150.05,-0.26,-0.17%,150.05,150.05,150.05
769,5/23/2014,149.8,-0.25,-0.17%,149.8,149.8,149.8
770,5/26/2014,149.41,-0.39,-0.26%,149.41,149.41,149.41
771,5/27/2014,149.24,-0.17,-0.11%,149.24,149.24,149.24
772,5/28/2014,149.17,-0.07,-0.05%,149.17,149.17,149.17
773,5/29/2014,149.84,0.67,0.45%,149.84,149.84,149.84
774,5/30/2014,150.2,0.36,0.24%,150.2,150.2,150.2
775,6/3/2014,149.12,-1.08,-0.72%,149.12,149.12,149.12
776,6/5/2014,149.29,0.17,0.11%,149.29,149.29,149.29
777,6/6/2014,149.33,0.04,0.03%,149.33,149.33,149.33
778,6/9/2014,149.61,0.28,0.19%,149.61,149.61,149.61
779,6/10/2014,150.24,0.63,0.42%,150.24,150.24,150.24
780,6/11/2014,150.09,-0.15,-0.10%,150.09,150.09,150.09
781,6/12/2014,150.04,-0.05,-0.03%,150.04,150.04,150.04
782,6/13/2014,150.6,0.56,0.37%,150.6,150.6,150.6
783,6/16/2014,149.47,-1.13,-0.75%,149.47,149.47,149.47
784,6/17/2014,148.84,-0.63,-0.42%,148.84,148.84,148.84
785,6/18/2014,149.02,0.18,0.12%,149.02,149.02,149.02
786,6/19/2014,149.41,0.39,0.26%,149.41,149.41,149.41
787,6/20/2014,149.72,0.31,0.21%,149.72,149.72,149.72
788,6/23/2014,150.17,0.45,0.30%,150.17,150.17,150.17
789,6/24/2014,149.92,-0.25,-0.17%,149.92,149.92,149.92
790,6/25/2014,149.66,-0.26,-0.17%,149.66,149.66,149.66
791,6/26/2014,149.52,-0.14,-0.09%,149.52,149.52,149.52
792,6/27/2014,149.69,0.17,0.11%,149.69,149.69,149.69
793,6/30/2014,150.37,0.68,0.45%,150.37,150.37,150.37
794,7/1/2014,152.11,1.74,1.16%,152.11,152.11,152.11
795,7/2/2014,153.64,1.53,1.01%,153.64,153.64,153.64
796,7/3/2014,152.63,-1.01,-0.66%,152.63,152.63,152.63
797,7/4/2014,152.09,-0.54,-0.35%,152.09,152.09,152.09
798,7/7/2014,152.02,-0.07,-0.05%,152.02,152.02,152.02
799,7/8/2014,152.29,0.27,0.18%,152.29,152.29,152.29
800,7/9/2014,152.2,-0.09,-0.06%,152.2,152.2,152.2
801,7/10/2014,151.93,-0.27,-0.18%,151.93,151.93,151.93
802,7/11/2014,151.12,-0.81,-0.53%,151.12,151.12,151.12
803,7/14/2014,151.19,0.07,0.05%,151.19,151.19,151.19
804,7/15/2014,151.12,-0.07,-0.05%,151.12,151.12,151.12
805,7/16/2014,150.49,-0.63,-0.42%,150.49,150.49,150.49
806,7/17/2014,151.03,0.54,0.36%,151.03,151.03,151.03
807,7/18/2014,151.55,0.52,0.34%,151.55,151.55,151.55
808,7/21/2014,151.07,-0.48,-0.32%,151.07,151.07,151.07
809,7/22/2014,150.77,-0.3,-0.20%,150.77,150.77,150.77
810,7/23/2014,151.53,0.76,0.50%,151.53,151.53,151.53
811,7/24/2014,151.01,-0.52,-0.34%,151.01,151.01,151.01
812,7/28/2014,150.4,-0.61,-0.40%,150.4,150.4,150.4
813,7/30/2014,151.57,1.17,0.78%,151.57,151.57,151.57
814,7/31/2014,151.69,0.12,0.08%,151.69,151.69,151.69
815,8/1/2014,153.18,1.49,0.98%,153.18,153.18,153.18
816,8/4/2014,153.62,0.44,0.29%,153.62,153.62,153.62
817,8/5/2014,155.39,1.77,1.15%,155.39,155.39,155.39
818,8/6/2014,156.68,1.29,0.83%,156.68,156.68,156.68
819,8/7/2014,155.83,-0.85,-0.54%,155.83,155.83,155.83
820,8/8/2014,154.53,-1.3,-0.83%,154.53,154.53,154.53
821,8/11/2014,154.41,-0.12,-0.08%,154.41,154.41,154.41
822,8/12/2014,154.4,-0.01,-0.01%,154.4,154.4,154.4
823,8/13/2014,154.5,0.1,0.06%,154.5,154.5,154.5
824,8/14/2014,155.36,0.86,0.56%,155.36,155.36,155.36
825,8/15/2014,155.39,0.03,0.02%,155.39,155.39,155.39
826,8/18/2014,155.71,0.32,0.21%,155.71,155.71,155.71
827,8/19/2014,156.14,0.43,0.28%,156.14,156.14,156.14
828,8/20/2014,156.58,0.44,0.28%,156.58,156.58,156.58
829,8/21/2014,156.58,0,0.00%,156.58,156.58,156.58
830,8/22/2014,156.43,-0.15,-0.10%,156.43,156.43,156.43
831,8/25/2014,156.77,0.34,0.22%,156.77,156.77,156.77
832,8/26/2014,157.17,0.4,0.26%,157.17,157.17,157.17
833,8/27/2014,157.32,0.15,0.10%,157.32,157.32,157.32
834,8/28/2014,157.09,-0.23,-0.15%,157.09,157.09,157.09
835,8/29/2014,157.94,0.85,0.54%,157.94,157.94,157.94
836,9/1/2014,159.12,1.18,0.75%,159.12,159.12,159.12
837,9/2/2014,159.82,0.7,0.44%,159.82,159.82,159.82
838,9/3/2014,160.24,0.42,0.26%,160.24,160.24,160.24
839,9/4/2014,159.51,-0.73,-0.46%,159.51,159.51,159.51
840,9/5/2014,159.44,-0.07,-0.04%,159.44,159.44,159.44
841,9/8/2014,159.78,0.34,0.21%,159.78,159.78,159.78
842,9/9/2014,159.82,0.04,0.03%,159.82,159.82,159.82
843,9/10/2014,159.94,0.12,0.08%,159.94,159.94,159.94
844,9/11/2014,159.34,-0.6,-0.38%,159.34,159.34,159.34
845,9/12/2014,159.43,0.09,0.06%,159.43,159.43,159.43
846,9/17/2014,159.93,0.5,0.31%,159.93,159.93,159.93
847,9/18/2014,161.1,1.17,0.73%,161.1,161.1,161.1
848,9/19/2014,162.8,1.7,1.06%,162.8,162.8,162.8
849,9/22/2014,165.36,2.56,1.57%,165.36,165.36,165.36
850,9/23/2014,165.45,0.09,0.05%,165.45,165.45,165.45
851,9/24/2014,163.69,-1.76,-1.06%,163.69,163.69,163.69
852,9/25/2014,161.92,-1.77,-1.08%,161.92,161.92,161.92
853,9/26/2014,162.35,0.43,0.27%,162.35,162.35,162.35
854,9/29/2014,163.4,1.05,0.65%,163.4,163.4,163.4
855,9/30/2014,163.45,0.05,0.03%,163.45,163.45,163.45
856,10/1/2014,164.23,0.78,0.48%,164.23,164.23,164.23
857,10/2/2014,163.63,-0.6,-0.37%,163.63,163.63,163.63
858,10/3/2014,163.66,0.03,0.02%,163.66,163.66,163.66
859,10/6/2014,163.49,-0.17,-0.10%,163.49,163.49,163.49
860,10/7/2014,163.27,-0.22,-0.13%,163.27,163.27,163.27
861,10/8/2014,162.65,-0.62,-0.38%,162.65,162.65,162.65
862,10/9/2014,162.42,-0.23,-0.14%,162.42,162.42,162.42
863,10/10/2014,162.54,0.12,0.07%,162.54,162.54,162.54
864,10/13/2014,161.95,-0.59,-0.36%,161.95,161.95,161.95
865,10/14/2014,161.73,-0.22,-0.14%,161.73,161.73,161.73
866,10/15/2014,161.88,0.15,0.09%,161.88,161.88,161.88
867,10/16/2014,161.59,-0.29,-0.18%,161.59,161.59,161.59
868,10/17/2014,160.42,-1.17,-0.72%,160.42,160.42,160.42
869,10/21/2014,159.84,-0.58,-0.36%,159.84,159.84,159.84
870,10/22/2014,160.58,0.74,0.46%,160.58,160.58,160.58
871,10/23/2014,160.82,0.24,0.15%,160.82,160.82,160.82
872,10/24/2014,159.34,-1.48,-0.92%,159.34,159.34,159.34
873,10/27/2014,159.22,-0.12,-0.08%,159.22,159.22,159.22
874,10/28/2014,158.41,-0.81,-0.51%,158.41,158.41,158.41
875,10/29/2014,159.36,0.95,0.60%,159.36,159.36,159.36
876,10/30/2014,159.68,0.32,0.20%,159.68,159.68,159.68
877,10/31/2014,159.23,-0.45,-0.28%,159.23,159.23,159.23
878,11/3/2014,159.05,-0.18,-0.11%,159.05,159.05,159.05
879,11/4/2014,158.59,-0.46,-0.29%,158.59,158.59,158.59
880,11/5/2014,159.21,0.62,0.39%,159.21,159.21,159.21
881,11/6/2014,159.13,-0.08,-0.05%,159.13,159.13,159.13
882,11/7/2014,159.48,0.35,0.22%,159.48,159.48,159.48
883,11/10/2014,159.4,-0.08,-0.05%,159.4,159.4,159.4
884,11/11/2014,160.31,0.91,0.57%,160.31,160.31,160.31
885,11/12/2014,162.63,2.32,1.45%,162.63,162.63,162.63
886,11/13/2014,162.63,0,0.00%,162.63,162.63,162.63
887,11/14/2014,163.7,1.07,0.66%,163.7,163.7,163.7
888,11/17/2014,163.2,-0.5,-0.31%,163.2,163.2,163.2
889,11/18/2014,162.93,-0.27,-0.17%,162.93,162.93,162.93
890,11/19/2014,162.63,-0.3,-0.18%,162.63,162.63,162.63
891,11/20/2014,162.07,-0.56,-0.34%,162.07,162.07,162.07
892,11/21/2014,162.06,-0.01,-0.01%,162.06,162.06,162.06
893,11/24/2014,161.15,-0.91,-0.56%,161.15,161.15,161.15
894,11/25/2014,161.3,0.15,0.09%,161.3,161.3,161.3
895,11/26/2014,163.02,1.72,1.07%,163.02,163.02,163.02
896,11/27/2014,163.77,0.75,0.46%,163.77,163.77,163.77
897,11/28/2014,163.27,-0.5,-0.31%,163.27,163.27,163.27
898,12/1/2014,164.15,0.88,0.54%,164.15,164.15,164.15
899,12/2/2014,164.29,0.14,0.09%,164.29,164.29,164.29
900,12/3/2014,164.04,-0.25,-0.15%,164.04,164.04,164.04
901,12/4/2014,165.84,1.8,1.10%,165.84,165.84,165.84
902,12/5/2014,166.5,0.66,0.40%,166.5,166.5,166.5
903,12/8/2014,167.54,1.04,0.62%,167.54,167.54,167.54
904,12/9/2014,166.85,-0.69,-0.41%,166.85,166.85,166.85
905,12/10/2014,165.58,-1.27,-0.76%,165.58,165.58,165.58
906,12/11/2014,163.52,-2.06,-1.24%,163.52,163.52,163.52
907,12/15/2014,162.76,-0.76,-0.46%,162.76,162.76,162.76
908,12/16/2014,162.37,-0.39,-0.24%,162.37,162.37,162.37
909,12/17/2014,160.29,-2.08,-1.28%,160.29,160.29,160.29
910,12/18/2014,157.56,-2.73,-1.70%,157.56,157.56,157.56
911,12/19/2014,156.19,-1.37,-0.87%,156.19,156.19,156.19
912,12/22/2014,156.86,0.67,0.43%,156.86,156.86,156.86
913,12/23/2014,159.1,2.24,1.43%,159.1,159.1,159.1
914,12/24/2014,162.12,3.02,1.90%,162.12,162.12,162.12
915,12/29/2014,162.12,0,0.00%,162.12,162.12,162.12
916,12/30/2014,163.25,1.13,0.70%,163.25,163.25,163.25
917,12/31/2014,162.89,-0.36,-0.22%,162.89,162.89,162.89
918,1/2/2015,163.24,0.35,0.21%,163.24,163.24,163.24
919,1/5/2015,162.17,-1.07,-0.66%,162.17,162.17,162.17
920,1/6/2015,161.86,-0.31,-0.19%,161.86,161.86,161.86
921,1/7/2015,161.8,-0.06,-0.04%,161.8,161.8,161.8
922,1/8/2015,161.78,-0.02,-0.01%,161.78,161.78,161.78
923,1/9/2015,162.08,0.3,0.19%,162.08,162.08,162.08
924,1/12/2015,162.05,-0.03,-0.02%,162.05,162.05,162.05
925,1/13/2015,164.76,2.71,1.67%,164.76,164.76,164.76
926,1/14/2015,166.08,1.32,0.80%,166.08,166.08,166.08
927,1/15/2015,165.47,-0.61,-0.37%,165.47,165.47,165.47
928,1/16/2015,166.81,1.34,0.81%,166.81,166.81,166.81
929,1/19/2015,165.88,-0.93,-0.56%,165.88,165.88,165.88
930,1/20/2015,164,-1.88,-1.13%,164,164,164
931,1/22/2015,165.17,1.17,0.71%,165.17,165.17,165.17
932,1/23/2015,166.68,1.51,0.91%,166.68,166.68,166.68
933,1/26/2015,165.61,-1.07,-0.64%,165.61,165.61,165.61
934,1/27/2015,165.82,0.21,0.13%,165.82,165.82,165.82
935,1/28/2015,165.88,0.06,0.04%,165.88,165.88,165.88
936,1/29/2015,165.23,-0.65,-0.39%,165.23,165.23,165.23
937,1/30/2015,165.8,0.57,0.34%,165.8,165.8,165.8
938,2/2/2015,166.25,0.45,0.27%,166.25,166.25,166.25
939,2/3/2015,166.85,0.6,0.36%,166.85,166.85,166.85
940,2/4/2015,167.94,1.09,0.65%,167.94,167.94,167.94
941,2/5/2015,168.37,0.43,0.26%,168.37,168.37,168.37
942,2/6/2015,168.19,-0.18,-0.11%,168.19,168.19,168.19
943,2/9/2015,169.03,0.84,0.50%,169.03,169.03,169.03
944,2/10/2015,169.32,0.29,0.17%,169.32,169.32,169.32
945,2/11/2015,170.09,0.77,0.45%,170.09,170.09,170.09
946,2/12/2015,171.67,1.58,0.93%,171.67,171.67,171.67
947,2/13/2015,171.94,0.27,0.16%,171.94,171.94,171.94
948,2/16/2015,172.45,0.51,0.30%,172.45,172.45,172.45
949,2/17/2015,172.9,0.45,0.26%,172.9,172.9,172.9
950,2/18/2015,174.17,1.27,0.73%,174.17,174.17,174.17
951,2/19/2015,175.65,1.48,0.85%,175.65,175.65,175.65
952,2/20/2015,176,0.35,0.20%,176,176,176
953,2/23/2015,175.81,-0.19,-0.11%,175.81,175.81,175.81
954,2/24/2015,176.82,1.01,0.57%,176.82,176.82,176.82
955,2/25/2015,177.51,0.69,0.39%,177.51,177.51,177.51
956,2/26/2015,175.97,-1.54,-0.87%,175.97,175.97,175.97
957,2/27/2015,175.7,-0.27,-0.15%,175.7,175.7,175.7
958,3/2/2015,174.7,-1,-0.57%,174.7,174.7,174.7
959,3/3/2015,173.07,-1.63,-0.93%,173.07,173.07,173.07
960,3/4/2015,172.8,-0.27,-0.16%,172.8,172.8,172.8
961,3/5/2015,172.28,-0.52,-0.30%,172.28,172.28,172.28
962,3/6/2015,172.51,0.23,0.13%,172.51,172.51,172.51
963,3/9/2015,171.67,-0.84,-0.49%,171.67,171.67,171.67
964,3/10/2015,172.52,0.85,0.50%,172.52,172.52,172.52
965,3/11/2015,172.71,0.19,0.11%,172.71,172.71,172.71
966,3/12/2015,172.42,-0.29,-0.17%,172.42,172.42,172.42
967,3/13/2015,172.01,-0.41,-0.24%,172.01,172.01,172.01
968,3/16/2015,171.66,-0.35,-0.20%,171.66,171.66,171.66
969,3/17/2015,171.99,0.33,0.19%,171.99,171.99,171.99
970,3/18/2015,172.63,0.64,0.37%,172.63,172.63,172.63
971,3/19/2015,173.5,0.87,0.50%,173.5,173.5,173.5
972,3/20/2015,172.47,-1.03,-0.59%,172.47,172.47,172.47
973,3/23/2015,172.02,-0.45,-0.26%,172.02,172.02,172.02
974,3/24/2015,172.57,0.55,0.32%,172.57,172.57,172.57
975,3/25/2015,173.05,0.48,0.28%,173.05,173.05,173.05
976,3/26/2015,173.73,0.68,0.39%,173.73,173.73,173.73
977,3/27/2015,174.16,0.43,0.25%,174.16,174.16,174.16
978,3/30/2015,174.83,0.67,0.38%,174.83,174.83,174.83
979,3/31/2015,175.11,0.28,0.16%,175.11,175.11,175.11
980,4/1/2015,175.22,0.11,0.06%,175.22,175.22,175.22
981,4/2/2015,173.39,-1.83,-1.04%,173.39,173.39,173.39
982,4/7/2015,171.15,-2.24,-1.29%,171.15,171.15,171.15
983,4/8/2015,170.8,-0.35,-0.20%,170.8,170.8,170.8
984,4/9/2015,170.46,-0.34,-0.20%,170.46,170.46,170.46
985,4/10/2015,169.61,-0.85,-0.50%,169.61,169.61,169.61
986,4/13/2015,170.31,0.7,0.41%,170.31,170.31,170.31
987,4/14/2015,170.78,0.47,0.28%,170.78,170.78,170.78
988,4/15/2015,171.07,0.29,0.17%,171.07,171.07,171.07
989,4/16/2015,171.57,0.5,0.29%,171.57,171.57,171.57
990,4/17/2015,173.2,1.63,0.95%,173.2,173.2,173.2
991,4/20/2015,173.68,0.48,0.28%,173.68,173.68,173.68
992,4/21/2015,172.96,-0.72,-0.41%,172.96,172.96,172.96
993,4/22/2015,171.79,-1.17,-0.68%,171.79,171.79,171.79
994,4/23/2015,171.58,-0.21,-0.12%,171.58,171.58,171.58
995,4/24/2015,172.55,0.97,0.57%,172.55,172.55,172.55
996,4/27/2015,171.59,-0.96,-0.56%,171.59,171.59,171.59
997,4/28/2015,171.7,0.11,0.06%,171.7,171.7,171.7
998,4/29/2015,172.35,0.65,0.38%,172.35,172.35,172.35
999,4/30/2015,173.2,0.85,0.49%,173.2,173.2,173.2
1000,5/4/2015,173.14,-0.06,-0.03%,173.14,173.14,173.14
1001,5/5/2015,173.94,0.8,0.46%,173.94,173.94,173.94
1002,5/6/2015,173.49,-0.45,-0.26%,173.49,173.49,173.49
1003,5/7/2015,171.52,-1.97,-1.14%,171.52,171.52,171.52
1004,5/8/2015,171.47,-0.05,-0.03%,171.47,171.47,171.47
1005,5/11/2015,170.65,-0.82,-0.48%,170.65,170.65,170.65
1006,5/12/2015,169.46,-1.19,-0.70%,169.46,169.46,169.46
1007,5/13/2015,167.27,-2.19,-1.29%,167.27,167.27,167.27
1008,5/14/2015,167.82,0.55,0.33%,167.82,167.82,167.82
1009,5/15/2015,167.73,-0.09,-0.05%,167.73,167.73,167.73
1010,5/18/2015,167.48,-0.25,-0.15%,167.48,167.48,167.48
1011,5/19/2015,167.83,0.35,0.21%,167.83,167.83,167.83
1012,5/20/2015,167.38,-0.45,-0.27%,167.38,167.38,167.38
1013,5/21/2015,166.48,-0.9,-0.54%,166.48,166.48,166.48
1014,5/22/2015,164.92,-1.56,-0.94%,164.92,164.92,164.92
1015,5/25/2015,164.14,-0.78,-0.47%,164.14,164.14,164.14
1016,5/26/2015,162.8,-1.34,-0.82%,162.8,162.8,162.8
1017,5/27/2015,161.31,-1.49,-0.92%,161.31,161.31,161.31
1018,5/28/2015,161.46,0.15,0.09%,161.46,161.46,161.46
1019,5/29/2015,162.13,0.67,0.41%,162.13,162.13,162.13
1020,6/2/2015,164.25,2.12,1.31%,164.25,164.25,164.25
1021,6/3/2015,164.23,-0.02,-0.01%,164.23,164.23,164.23
1022,6/4/2015,164.22,-0.01,-0.01%,164.22,164.22,164.22
1023,6/5/2015,163.78,-0.44,-0.27%,163.78,163.78,163.78
1024,6/8/2015,162.53,-1.25,-0.76%,162.53,162.53,162.53
